[278, 38, 186, 422, 266, 86, 10, 702, 374, 366, 710, 670, 106, 738, 30, 506, 554, 302, 354, 442, 766, 26, 154, 330, 238, 334, 182, 466, 42, 218, 290, 490]
[276, 36, 184, 420, 84, 264, 8, 700, 364, 372, 104, 736, 668, 708, 28, 504, 300, 552, 440, 352, 764, 152, 328, 24, 236, 332, 180, 464, 40, 288, 216, 488]
[136, 412, 428, 508, 716, 692, 476, 516, 312, 72, 380, 172, 568, 512, 292, 448, 688, 588, 188, 468, 212, 192, 408, 528, 32, 0, 424, 472, 304, 384, 160, 536]
[66, 546, 138, 414, 430, 510, 718, 298, 394, 694, 478, 518, 314, 402, 158, 126, 74, 382, 566, 174, 570, 514, 294, 450, 470, 190, 214, 410, 194, 34, 530, 118]
[142, 114, 438, 202, 494, 246, 286, 654, 486, 370, 434, 210, 78, 658, 606, 14, 630, 222, 734, 498, 378, 674, 446, 650, 350, 70, 18, 462, 730, 362, 746, 54]
[112, 140, 436, 200, 492, 244, 652, 284, 484, 368, 432, 208, 76, 656, 604, 12, 628, 220, 732, 496, 376, 672, 444, 648, 348, 68, 16, 460, 728, 360, 744, 456]
[277, 37, 265, 85, 185, 421, 9, 701, 365, 373, 709, 669, 105, 737, 29, 505, 301, 553, 353, 441, 765, 153, 329, 25, 237, 333, 181, 465, 41, 489, 289, 217]
[137, 413, 429, 509, 717, 693, 477, 517, 313, 381, 73, 173, 569, 513, 293, 449, 189, 469, 213, 529, 33, 409, 193, 689, 385, 1, 589, 425, 473, 305, 161, 537]
[704, 120, 712, 632, 396, 616, 60, 256, 480, 584, 308, 580, 404, 644, 740, 596, 164, 272, 500, 260, 280, 48, 132, 664, 760, 416, 684, 336, 748, 340, 4, 204]
[534, 230, 130, 758, 198, 94, 474, 426, 242, 254, 90, 682, 2, 690, 602, 226, 346, 318, 454, 326, 178, 102, 234, 562, 538, 638, 458, 82, 22, 590, 386, 306]
[64, 544, 392, 296, 156, 400, 124, 564, 228, 532, 196, 92, 680, 88, 116, 600, 224, 128, 756, 452, 560, 232, 636, 252, 240, 620, 316, 344, 20, 168, 324, 176]
[141, 113, 201, 437, 493, 245, 369, 485, 653, 285, 433, 209, 77, 13, 629, 657, 605, 221, 733, 497, 377, 673, 445, 649, 69, 349, 17, 461, 729, 361, 745, 53]
[229, 533, 197, 93, 453, 601, 225, 705, 121, 681, 89, 561, 397, 617, 21, 241, 253, 621, 585, 645, 741, 273, 501, 577, 525, 257, 481, 597, 169, 165, 261, 281]
[706, 122, 714, 634, 62, 398, 618, 586, 258, 482, 406, 310, 582, 646, 742, 274, 502, 166, 598, 282, 262, 50, 338, 666, 134, 762, 418, 750, 170, 146, 614, 622]
[52, 80, 576, 524, 144, 612, 268, 592, 356, 724, 520, 676, 720, 100, 640, 752, 320, 608, 388, 696, 556, 572, 624, 44, 148, 96, 1000, 1016, 540, 108, 548, 660]
[545, 65, 297, 393, 401, 157, 125, 565, 117, 713, 633, 129, 757, 61, 233, 637, 317, 345, 325, 177, 101, 581, 309, 405, 269, 613, 337, 417, 81, 457, 145, 133]
[721, 593, 725, 661, 341, 5, 761, 749, 665, 357, 541, 625, 205, 49, 685, 321, 677, 609, 697, 557, 573, 389, 1002, 149, 109, 521, 641, 753, 1018, 45, 97, 549]
