[0, 128, 130, 134, 8, 137, 10, 12, 14, 16, 22, 25, 30, 34, 53, 54, 59, 61, 63, 70, 73, 74, 75, 76, 94, 108, 110, 111, 114, 115, 117, 121]
[256, 1, 129, 131, 132, 140, 13, 19, 20, 151, 27, 165, 173, 181, 55, 56, 192, 67, 197, 78, 79, 208, 209, 83, 89, 95, 96, 109, 211, 245, 252, 126]
[2, 260, 396, 145, 530, 238, 23, 281, 26, 29, 290, 164, 549, 42, 157, 311, 568, 453, 199, 331, 77, 463, 592, 341, 356, 481, 612, 359, 494, 625, 370, 503]
[258, 3, 388, 261, 6, 15, 88, 402, 283, 286, 325, 82, 178, 179, 310, 68, 69, 333, 80, 81, 210, 85, 344, 93, 224, 355, 106, 365, 240, 372, 118, 375]
[5, 136, 11, 17, 147, 276, 407, 158, 417, 418, 166, 424, 43, 45, 46, 177, 57, 191, 64, 334, 335, 473, 221, 351, 482, 99, 101, 105, 235, 241, 404, 510]
[133, 18, 141, 142, 144, 152, 146, 150, 24, 156, 160, 33, 163, 36, 38, 40, 170, 44, 48, 183, 187, 66, 71, 72, 86, 87, 91, 226, 100, 112, 124, 127]
[513, 41, 516, 391, 272, 284, 288, 293, 298, 47, 307, 308, 185, 58, 319, 65, 195, 196, 457, 212, 216, 92, 186, 480, 358, 486, 496, 242, 506, 102, 382, 255]
[517, 98, 774, 667, 539, 426, 429, 559, 176, 563, 565, 446, 703, 580, 198, 200, 585, 458, 588, 206, 318, 468, 214, 476, 484, 231, 363, 367, 752, 373, 122, 460]
[139, 143, 148, 153, 154, 155, 159, 161, 167, 169, 171, 175, 182, 189, 193, 194, 201, 202, 203, 207, 215, 217, 219, 225, 227, 228, 234, 237, 243, 251, 253, 254]
[390, 244, 393, 522, 527, 528, 275, 538, 413, 414, 419, 421, 422, 427, 301, 431, 314, 315, 266, 320, 449, 340, 471, 474, 348, 478, 483, 550, 361, 493, 499, 378]
[385, 257, 392, 394, 267, 269, 271, 274, 291, 292, 296, 264, 312, 316, 324, 326, 327, 329, 336, 399, 343, 345, 347, 353, 357, 360, 364, 376, 377, 380, 381, 383]
[386, 278, 389, 518, 519, 400, 403, 406, 537, 280, 409, 410, 287, 304, 552, 554, 300, 302, 432, 433, 306, 438, 448, 328, 459, 337, 350, 479, 352, 366, 495, 501]
[512, 401, 514, 520, 529, 533, 540, 541, 415, 545, 546, 425, 557, 560, 434, 441, 442, 450, 452, 455, 456, 461, 462, 469, 470, 472, 475, 487, 489, 498, 507, 511]
[525, 437, 532, 536, 668, 542, 543, 582, 562, 564, 439, 500, 701, 454, 712, 567, 718, 467, 597, 728, 730, 603, 611, 485, 614, 488, 491, 492, 497, 628, 631, 505]
[768, 551, 771, 645, 556, 786, 790, 665, 794, 798, 671, 677, 553, 812, 690, 692, 829, 574, 832, 579, 837, 719, 724, 729, 731, 604, 613, 618, 747, 750, 763, 638]
[640, 558, 641, 642, 644, 773, 649, 652, 661, 679, 681, 684, 689, 696, 697, 699, 573, 702, 578, 711, 593, 596, 601, 608, 617, 621, 751, 630, 760, 633, 639, 767]
[647, 561, 650, 655, 657, 659, 680, 685, 687, 691, 693, 694, 698, 572, 576, 708, 714, 589, 590, 598, 732, 605, 606, 739, 740, 742, 748, 622, 624, 626, 632, 635]
[897, 755, 770, 904, 906, 780, 781, 916, 802, 909, 883, 822, 830, 831, 836, 838, 840, 847, 858, 861, 864, 874, 875, 876, 877, 880, 808, 885, 758, 888, 889, 765]
[769, 648, 4, 994, 678, 871, 104, 303, 62, 914, 792, 772, 926, 675, 815, 944, 946, 819, 705, 963, 710, 713, 716, 738, 974, 851, 727, 985, 986, 860, 862, 866]
[900, 846, 7, 704, 97, 706, 35, 321, 521, 39, 905, 721, 338, 323, 9, 408, 923, 445, 247, 911, 784, 21, 297, 299, 50, 379, 918, 919, 933, 949, 953, 958]
[259, 31, 262, 49, 135, 778, 523, 526, 273, 405, 282, 924, 285, 555, 420, 138, 811, 972, 239, 627, 349, 508, 1003, 575, 929, 806, 797, 903, 309, 695, 569, 571]
[901, 531, 395, 289, 322, 37, 656, 983, 662, 669, 672, 673, 932, 810, 941, 942, 950, 826, 700, 960, 584, 849, 725, 599, 733, 865, 741, 1012, 886, 1020, 895, 664]
[428, 51, 782, 149, 368, 354, 839, 844, 938, 172, 591, 720, 920, 850, 332, 921, 250, 602, 968, 853, 997, 999, 1007, 1009, 917, 872, 1015, 894, 863, 892, 1021, 990]
