[384, 420, 624, 744, 436, 748, 608, 468, 588, 0, 84, 28, 464, 736, 412, 620, 488, 132, 656, 48, 564, 484, 676, 580, 60, 576, 720, 272, 476, 632, 32, 644]
[604, 556, 392, 428, 652, 156, 440, 480, 712, 204, 344, 424, 688, 692, 308, 44, 292, 664, 404, 56, 356, 176, 320, 732, 328, 200, 724, 444, 304, 508, 92, 628]
[256, 264, 520, 584, 600, 500, 456, 536, 184, 472, 572, 592, 396, 504, 552, 340, 636, 648, 268, 324, 716, 316, 260, 248, 496, 380, 544, 668, 336, 372, 180, 612]
[470, 486, 2, 86, 438, 738, 626, 50, 30, 466, 722, 634, 578, 646, 402, 242, 478, 746, 582, 490, 414, 658, 34, 138, 62, 274, 526, 590, 622, 386, 422, 610]
[258, 266, 530, 742, 26, 326, 602, 458, 182, 650, 270, 446, 306, 322, 714, 666, 178, 310, 474, 398, 206, 58, 106, 186, 318, 594, 346, 158, 498, 546, 250, 330]
[342, 718, 78, 226, 522, 586, 166, 754, 598, 730, 682, 454, 382, 554, 74, 194, 210, 102, 506, 638, 162, 698, 302, 674, 710, 14, 390, 570, 142, 10, 378, 366]
[437, 737, 29, 465, 469, 485, 49, 625, 721, 577, 633, 273, 657, 581, 645, 401, 477, 745, 61, 749, 33, 621, 677, 241, 489, 565, 589, 421, 385, 609, 133, 525]
[442, 630, 654, 430, 410, 94, 734, 426, 726, 550, 394, 558, 354, 358, 606, 678, 750, 534, 482, 46, 114, 694, 538, 338, 374, 690, 202, 262, 294, 566, 670, 762]
[653, 605, 409, 93, 393, 481, 557, 425, 733, 321, 713, 665, 445, 157, 329, 309, 693, 725, 357, 305, 205, 177, 345, 57, 201, 689, 549, 509, 105, 429, 441, 629]
[257, 265, 521, 585, 717, 341, 601, 325, 649, 269, 497, 185, 317, 553, 537, 457, 545, 249, 381, 669, 181, 261, 637, 505, 293, 45, 113, 397, 593, 337, 473, 501]
[512, 280, 24, 528, 312, 764, 332, 492, 532, 660, 348, 540, 68, 616, 368, 760, 704, 448, 116, 560, 416, 360, 516, 296, 460, 740, 288, 352, 216, 252, 136, 240]
[276, 224, 140, 376, 728, 568, 388, 100, 452, 284, 752, 164, 680, 640, 168, 8, 76, 160, 684, 72, 192, 756, 672, 208, 696, 364, 300, 596, 708, 548, 104, 12]
[662, 350, 494, 370, 542, 418, 766, 618, 518, 118, 298, 462, 290, 562, 362, 334, 70, 450, 706, 514, 282, 314, 642, 170, 502, 574, 702, 434, 686, 278, 286, 134]
[165, 753, 681, 453, 641, 169, 77, 225, 597, 729, 301, 709, 673, 389, 209, 101, 161, 697, 685, 141, 13, 73, 377, 9, 365, 193, 285, 277, 569, 757, 613, 405]
[661, 349, 1, 85, 313, 765, 493, 369, 617, 529, 25, 541, 417, 333, 449, 117, 413, 69, 513, 281, 705, 517, 297, 461, 361, 561, 741, 289, 761, 137, 533, 701]
[36, 236, 128, 4, 88, 20, 228, 144, 108, 244, 212, 40, 400, 700, 52, 432, 232, 148, 152, 524, 220, 408, 112, 96, 80, 196, 124, 172, 188, 1008, 16, 64]
[238, 38, 130, 90, 230, 234, 54, 925, 254, 6, 214, 406, 510, 42, 146, 218, 614, 758, 22, 110, 174, 150, 98, 246, 18, 122, 190, 154, 82, 222, 66, 126]
[904, 908, 856, 788, 880, 972, 844, 808, 940, 820, 828, 1012, 120, 776, 824, 916, 780, 932, 872, 1020, 784, 832, 948, 860, 984, 1016, 796, 980, 924, 884, 996, 1004]
[992, 888, 968, 864, 792, 848, 772, 868, 896, 852, 1000, 812, 976, 944, 960, 800, 988, 876, 892, 804, 952, 768, 964, 900, 816, 912, 836, 956, 920, 840, 928, 936]
[515, 283, 315, 767, 335, 495, 219, 1011, 435, 299, 463, 419, 119, 255, 663, 351, 223, 1015, 371, 619, 519, 707, 451, 563, 543, 907, 911, 291, 859, 191, 71, 363]
[423, 387, 627, 747, 51, 215, 139, 983, 31, 131, 779, 83, 799, 87, 135, 915, 7, 583, 659, 3, 839, 275, 479, 35, 91, 415, 703, 19, 243, 647, 403, 831]
[751, 439, 591, 471, 611, 739, 763, 535, 531, 491, 623, 679, 567, 487, 579, 723, 635, 443, 715, 63, 999, 427, 691, 787, 835, 311, 347, 735, 743, 527, 355, 331]
[203, 871, 791, 883, 1023, 247, 963, 111, 179, 951, 947, 95, 863, 783, 935, 919, 827, 875, 775, 207, 927, 887, 59, 107, 923, 175, 819, 159, 771, 967, 27, 43]
[905, 909, 857, 1013, 1009, 789, 881, 797, 981, 821, 829, 777, 785, 833, 997, 837, 861, 949, 825, 917, 781, 933, 873, 1021, 913, 773, 869, 817, 921, 885, 961, 945]
[559, 607, 431, 395, 595, 575, 259, 267, 603, 503, 539, 459, 655, 483, 695, 407, 667, 327, 651, 271, 447, 307, 511, 411, 359, 499, 727, 551, 631, 671, 339, 323]
[237, 37, 229, 21, 129, 89, 53, 145, 213, 233, 41, 573, 373, 149, 97, 253, 173, 109, 353, 926, 433, 245, 5, 81, 125, 823, 467, 153, 65, 121, 217, 198]
[187, 199, 931, 239, 67, 855, 867, 971, 147, 995, 891, 851, 183, 795, 959, 155, 39, 843, 211, 11, 79, 899, 227, 903, 807, 1003, 879, 895, 151, 955, 15, 55]
[523, 587, 279, 287, 571, 731, 391, 455, 475, 639, 399, 507, 555, 343, 319, 683, 719, 163, 547, 383, 675, 759, 263, 375, 687, 379, 643, 755, 599, 711, 303, 699]
[847, 975, 973, 845, 987, 115, 811, 943, 809, 941, 889, 993, 969, 865, 47, 1019, 991, 123, 1007, 1017, 985, 793, 849, 1005, 769, 965, 801, 989, 803, 897, 853, 1001]
[23, 235, 939, 75, 167, 127, 143, 231, 195, 171, 815, 877, 893, 813, 977, 979, 805, 953, 901, 17, 221, 957, 841, 929, 937, 189, 1010, 197, 99, 103, 615, 251]
[974, 846, 790, 882, 994, 890, 970, 866, 942, 810, 782, 934, 918, 826, 874, 1022, 986, 794, 850, 1018, 862, 950, 1006, 898, 1002, 854, 814, 978, 774, 870, 818, 922]
[910, 906, 858, 822, 830, 834, 786, 778, 878, 894, 998, 802, 990, 806, 954, 946, 962, 798, 982, 838, 902, 1014, 842, 930, 958, 914, 770, 966, 295, 367, 886, 938]
