[2, 376, 35, 766, 786, 13, 946, 310, 926, 343, 167, 409, 596, 189, 876, 651, 607, 866, 134, 519, 906, 266, 145, 563, 90, 57, 123, 387, 354, 541, 178, 976]
[673, 1016, 956, 365, 640, 321, 464, 796, 299, 706, 101, 211, 1006, 916, 662, 442, 966, 986, 816, 200, 585, 486, 420, 618, 46, 856, 24, 244, 79, 222, 233, 398]
[3, 377, 36, 767, 787, 14, 947, 311, 927, 344, 168, 410, 597, 190, 877, 652, 608, 867, 135, 520, 907, 267, 146, 564, 91, 58, 124, 388, 355, 542, 179, 977]
[674, 1017, 957, 366, 641, 322, 465, 797, 300, 707, 102, 212, 1007, 917, 663, 443, 967, 987, 817, 201, 586, 487, 619, 421, 47, 857, 25, 245, 80, 223, 234, 399]
[826, 836, 552, 453, 936, 716, 332, 776, 475, 896, 695, 431, 497, 277, 574, 112, 806, 68, 746, 756, 156, 846, 684, 629, 996, 530, 255, 288, 736, 886, 726, 508]
[837, 827, 553, 937, 454, 717, 333, 777, 476, 897, 696, 432, 498, 278, 575, 113, 807, 69, 747, 757, 157, 847, 685, 630, 997, 256, 531, 289, 737, 887, 727, 509]
[280, 577, 346, 489, 989, 126, 949, 93, 5, 566, 544, 291, 192, 809, 729, 401, 709, 456, 16, 665, 148, 335, 654, 533, 313, 60, 390, 939, 214, 269, 71, 181]
[275, 572, 264, 187, 0, 561, 984, 121, 934, 714, 176, 944, 88, 55, 451, 484, 638, 308, 286, 804, 539, 132, 341, 660, 22, 1004, 649, 724, 473, 143, 374, 974]
[6, 567, 281, 578, 347, 490, 270, 193, 990, 127, 182, 94, 950, 17, 666, 61, 457, 644, 336, 810, 730, 545, 292, 402, 710, 72, 391, 940, 655, 534, 314, 215]
[7, 568, 282, 579, 348, 491, 271, 194, 991, 183, 128, 951, 95, 645, 337, 18, 667, 62, 458, 403, 711, 546, 293, 811, 731, 392, 941, 73, 656, 535, 315, 216]
[285, 582, 384, 10, 21, 175, 351, 274, 153, 318, 648, 329, 549, 186, 571, 98, 417, 604, 472, 131, 65, 461, 659, 197, 296, 527, 142, 43, 615, 395, 362, 593]
[279, 576, 4, 565, 191, 92, 988, 180, 948, 15, 664, 455, 268, 59, 642, 334, 125, 488, 938, 1008, 543, 290, 312, 136, 26, 389, 609, 147, 345, 477, 378, 521]
[799, 368, 999, 889, 599, 739, 467, 769, 929, 423, 879, 357, 104, 979, 137, 27, 698, 759, 719, 379, 676, 969, 588, 170, 522, 478, 643, 1009, 859, 869, 779, 789]
[587, 998, 598, 466, 878, 532, 213, 778, 323, 808, 718, 400, 81, 888, 356, 103, 70, 653, 728, 758, 708, 738, 411, 858, 510, 675, 868, 37, 169, 978, 968, 697]
[528, 209, 66, 77, 864, 784, 407, 594, 396, 704, 385, 11, 764, 774, 754, 605, 517, 330, 33, 352, 506, 994, 884, 462, 220, 231, 418, 904, 734, 693, 165, 583]
[428, 626, 109, 241, 560, 340, 670, 32, 450, 373, 87, 230, 219, 494, 54, 252, 681, 406, 692, 208, 538, 307, 263, 703, 505, 439, 637, 76, 120, 516, 164, 483]
[773, 42, 9, 383, 460, 723, 943, 284, 581, 793, 317, 20, 953, 416, 603, 196, 883, 983, 185, 548, 130, 64, 614, 873, 295, 813, 526, 913, 570, 97, 658, 273]
[800, 369, 424, 880, 770, 930, 1000, 890, 600, 740, 468, 358, 105, 589, 699, 760, 138, 28, 980, 720, 380, 171, 149, 677, 970, 1010, 523, 479, 860, 870, 790, 160]
[801, 370, 425, 881, 771, 931, 1001, 891, 601, 741, 469, 359, 106, 700, 761, 590, 139, 29, 721, 381, 981, 172, 150, 678, 971, 1011, 524, 480, 861, 871, 791, 161]
